feature,pos_missing_rate,neg_missing_rate,missing_gap,drop
Acc_P21_6th,0.0,0.0,0.0,False
Acc_P21_7th,0.0,0.0,0.0,False
Acc_P21_8th,0.0,0.0,0.0,False
Acc_P21_9th,0.0,0.0,0.0,False
Acc_P22_10th,0.0,0.0,0.0,False
Acc_P22_1th,0.0,0.0,0.0,False
Acc_P1_4th,0.0,0.0,0.0,False
Acc_P22_3th,0.0,0.0,0.0,False
Acc_P22_4th,0.0,0.0,0.0,False
Acc_P22_5th,0.0,0.0,0.0,False
Acc_P22_6th,0.0,0.0,0.0,False
Acc_P22_7th,0.0,0.0,0.0,False
Acc_P22_8th,0.0,0.0,0.0,False
Acc_P22_9th,0.0,0.0,0.0,False
Acc_P23_10th,0.0,0.0,0.0,False
Acc_P23_1th,0.0,0.0,0.0,False
Acc_P22_2th,0.0,0.0,0.0,False
Acc_P1_5th,0.0,0.0,0.0,False
Acc_P1_6th,0.0,0.0,0.0,False
Acc_P1_7th,0.0,0.0,0.0,False
Acc_P1_8th,0.0,0.0,0.0,False
Acc_P1_9th,0.0,0.0,0.0,False
Acc_P20_10th,0.0,0.0,0.0,False
Acc_P20_1th,0.0,0.0,0.0,False
Acc_P20_2th,0.0,0.0,0.0,False
Acc_P21_3th,0.0,0.0,0.0,False
Acc_P20_4th,0.0,0.0,0.0,False
Acc_P20_5th,0.0,0.0,0.0,False
Acc_P20_6th,0.0,0.0,0.0,False
Acc_P20_7th,0.0,0.0,0.0,False
Acc_P20_8th,0.0,0.0,0.0,False
Acc_P20_9th,0.0,0.0,0.0,False
Acc_P21_10th,0.0,0.0,0.0,False
Acc_P21_1th,0.0,0.0,0.0,False
Acc_P21_2th,0.0,0.0,0.0,False
Acc_P20_3th,0.0,0.0,0.0,False
Acc_P4_2th,0.0,0.0,0.0,False
Acc_P4_3th,0.0,0.0,0.0,False
Acc_P4_4th,0.0,0.0,0.0,False
Acc_P4_5th,0.0,0.0,0.0,False
Acc_P4_6th,0.0,0.0,0.0,False
Acc_P4_7th,0.0,0.0,0.0,False
Acc_P4_8th,0.0,0.0,0.0,False
Acc_P4_9th,0.0,0.0,0.0,False
Acc_P16_8th,0.0,0.0,0.0,False
Acc_P5_1th,0.0,0.0,0.0,False
Acc_P5_2th,0.0,0.0,0.0,False
Acc_P5_3th,0.0,0.0,0.0,False
Acc_P5_4th,0.0,0.0,0.0,False
Acc_P5_5th,0.0,0.0,0.0,False
Acc_P5_6th,0.0,0.0,0.0,False
Acc_P5_7th,0.0,0.0,0.0,False
Acc_P5_8th,0.0,0.0,0.0,False
Acc_P5_10th,0.0,0.0,0.0,False
Acc_P37_3th,0.0,0.0,0.0,False
Acc_P37_4th,0.0,0.0,0.0,False
Acc_P37_5th,0.0,0.0,0.0,False
Acc_P37_6th,0.0,0.0,0.0,False
Acc_P37_7th,0.0,0.0,0.0,False
Acc_P37_8th,0.0,0.0,0.0,False
Acc_P37_9th,0.0,0.0,0.0,False
Acc_P3_10th,0.0,0.0,0.0,False
Acc_P4_1th,0.0,0.0,0.0,False
Acc_P3_2th,0.0,0.0,0.0,False
Acc_P3_3th,0.0,0.0,0.0,False
Acc_P3_4th,0.0,0.0,0.0,False
Acc_P3_5th,0.0,0.0,0.0,False
Acc_P3_6th,0.0,0.0,0.0,False
Acc_P3_7th,0.0,0.0,0.0,False
Acc_P3_8th,0.0,0.0,0.0,False
Acc_P3_9th,0.0,0.0,0.0,False
Acc_P4_10th,0.0,0.0,0.0,False
Acc_P3_1th,0.0,0.0,0.0,False
Acc_P7_9th,0.0,0.0,0.0,False
Acc_P8_10th,0.0,0.0,0.0,False
Acc_P8_1th,0.0,0.0,0.0,False
Acc_P8_2th,0.0,0.0,0.0,False
Acc_P8_5th,0.0,0.0,0.0,False
