feature,pos_missing_rate,neg_missing_rate,missing_rate_gap,missing_auc_abs,pos_unique_non_na,neg_unique_non_na
HotPairingMRNA_he_P9_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P9_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P9_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P9_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMirna_he_P1_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P1_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P1_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P1_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P1_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMirna_he_P2_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P2_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P2_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P2_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P2_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMirna_he_P3_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P3_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P3_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P3_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P3_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMirna_he_P4_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P4_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P4_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P4_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P4_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMirna_he_P5_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P5_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P5_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P5_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P5_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMirna_he_P6_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P6_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P6_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P6_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P6_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMirna_he_P7_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P7_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P7_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P7_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P7_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMirna_he_P8_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P8_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P8_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P8_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P8_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMirna_he_P9_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P9_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P9_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P9_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMirna_he_P9_L5,0.0,0.0,0.0,0.5,1,1
Energy_MEF_3p,0.0,0.0,0.0,0.5,104,122
Energy_MEF_Duplex,0.0,0.0,0.0,0.5,323,266
Energy_MEF_Seed,0.0,0.0,0.0,0.5,36,44
Energy_MEF_cons_local_target,0.0,0.0,0.0,0.5,1568,1662
Energy_MEF_cons_local_target_normalized,0.0,0.0,0.0,0.5,2397,2556
Energy_MEF_local_target,0.0,0.0,0.0,0.5,581,633
Energy_MEF_local_target_normalized,0.0,0.0,0.0,0.5,2618,2836
Acc_P10_10th,0.0,0.0,0.0,0.5,8554,9051
Acc_P10_1th,0.0,0.0,0.0,0.5,8551,9069
Acc_P10_2th,0.0,0.0,0.0,0.5,8551,9069
Acc_P10_3th,0.0,0.0,0.0,0.5,8551,9070
Acc_P10_4th,0.0,0.0,0.0,0.5,8555,9069
Acc_P10_5th,0.0,0.0,0.0,0.5,8554,9071
Acc_P10_6th,0.0,0.0,0.0,0.5,8553,9068
Acc_P10_7th,0.0,0.0,0.0,0.5,8552,9063
Acc_P10_8th,0.0,0.0,0.0,0.5,8555,9059
Acc_P10_9th,0.0,0.0,0.0,0.5,8553,9052
Acc_P11_10th,0.0,0.0,0.0,0.5,8553,9052
Acc_P11_1th,0.0,0.0,0.0,0.5,8552,9073
Acc_P11_2th,0.0,0.0,0.0,0.5,8550,9072
Acc_P11_3th,0.0,0.0,0.0,0.5,8554,9070
Acc_P11_4th,0.0,0.0,0.0,0.5,8552,9071
Acc_P11_5th,0.0,0.0,0.0,0.5,8553,9071
Acc_P11_6th,0.0,0.0,0.0,0.5,8550,9069
Acc_P11_7th,0.0,0.0,0.0,0.5,8554,9068
Acc_P11_8th,0.0,0.0,0.0,0.5,8551,9062
Acc_P11_9th,0.0,0.0,0.0,0.5,8551,9058
Acc_P12_10th,0.0,0.0,0.0,0.5,8549,9056
Acc_P12_1th,0.0,0.0,0.0,0.5,8548,9076
Acc_P12_2th,0.0,0.0,0.0,0.5,8550,9076
Acc_P12_3th,0.0,0.0,0.0,0.5,8550,9074
Acc_P12_4th,0.0,0.0,0.0,0.5,8550,9072
Acc_P12_5th,0.0,0.0,0.0,0.5,8554,9068
Acc_P12_6th,0.0,0.0,0.0,0.5,8554,9071
Acc_P12_7th,0.0,0.0,0.0,0.5,8553,9071
Acc_P12_8th,0.0,0.0,0.0,0.5,8551,9068
Acc_P12_9th,0.0,0.0,0.0,0.5,8554,9063
Acc_P13_10th,0.0,0.0,0.0,0.5,8555,9063
Acc_P13_1th,0.0,0.0,0.0,0.5,8550,9077
Acc_P13_2th,0.0,0.0,0.0,0.5,8552,9076
Acc_P13_3th,0.0,0.0,0.0,0.5,8551,9073
Acc_P13_4th,0.0,0.0,0.0,0.5,8553,9068
Acc_P13_5th,0.0,0.0,0.0,0.5,8551,9072
Acc_P13_6th,0.0,0.0,0.0,0.5,8554,9073
Acc_P13_7th,0.0,0.0,0.0,0.5,8553,9070
Acc_P13_8th,0.0,0.0,0.0,0.5,8551,9068
Acc_P13_9th,0.0,0.0,0.0,0.5,8555,9063
Acc_P14_10th,0.0,0.0,0.0,0.5,8555,9067
Acc_P14_1th,0.0,0.0,0.0,0.5,8552,9074
Acc_P14_2th,0.0,0.0,0.0,0.5,8555,9075
Acc_P14_3th,0.0,0.0,0.0,0.5,8550,9073
Acc_P14_4th,0.0,0.0,0.0,0.5,8551,9073
Acc_P14_5th,0.0,0.0,0.0,0.5,8554,9068
Acc_P14_6th,0.0,0.0,0.0,0.5,8552,9071
Acc_P14_7th,0.0,0.0,0.0,0.5,8552,9069
Acc_P14_8th,0.0,0.0,0.0,0.5,8555,9068
Acc_P14_9th,0.0,0.0,0.0,0.5,8552,9069
Acc_P15_10th,0.0,0.0,0.0,0.5,8553,9070
Acc_P15_1th,0.0,0.0,0.0,0.5,8551,9076
Acc_P15_2th,0.0,0.0,0.0,0.5,8550,9076
Acc_P15_3th,0.0,0.0,0.0,0.5,8552,9070
Acc_P15_4th,0.0,0.0,0.0,0.5,8552,9072
Acc_P15_5th,0.0,0.0,0.0,0.5,8549,9073
Acc_P15_6th,0.0,0.0,0.0,0.5,8555,9073
Acc_P15_7th,0.0,0.0,0.0,0.5,8555,9071
Acc_P15_8th,0.0,0.0,0.0,0.5,8555,9069
Acc_P15_9th,0.0,0.0,0.0,0.5,8551,9070
Acc_P16_10th,0.0,0.0,0.0,0.5,8554,9068
Acc_P16_1th,0.0,0.0,0.0,0.5,8548,9073
Acc_P16_2th,0.0,0.0,0.0,0.5,8549,9072
Acc_P16_3th,0.0,0.0,0.0,0.5,8548,9077
Acc_P16_4th,0.0,0.0,0.0,0.5,8548,9074
Acc_P16_5th,0.0,0.0,0.0,0.5,8552,9075
Acc_P16_6th,0.0,0.0,0.0,0.5,8551,9073
Acc_P16_7th,0.0,0.0,0.0,0.5,8553,9070
Acc_P16_8th,0.0,0.0,0.0,0.5,8554,9073
Acc_P16_9th,0.0,0.0,0.0,0.5,8553,9071
Acc_P17_10th,0.0,0.0,0.0,0.5,8552,9069
Acc_P17_1th,0.0,0.0,0.0,0.5,8552,9074
Acc_P17_2th,0.0,0.0,0.0,0.5,8551,9076
Acc_P17_3th,0.0,0.0,0.0,0.5,8552,9073
Acc_P17_4th,0.0,0.0,0.0,0.5,8552,9074
Acc_P17_5th,0.0,0.0,0.0,0.5,8552,9074
Acc_P17_6th,0.0,0.0,0.0,0.5,8552,9075
Acc_P17_7th,0.0,0.0,0.0,0.5,8552,9073
Acc_P17_8th,0.0,0.0,0.0,0.5,8551,9071
Acc_P17_9th,0.0,0.0,0.0,0.5,8553,9072
Acc_P18_10th,0.0,0.0,0.0,0.5,8550,9071
Acc_P18_1th,0.0,0.0,0.0,0.5,8550,9074
Acc_P18_2th,0.0,0.0,0.0,0.5,8549,9077
Acc_P18_3th,0.0,0.0,0.0,0.5,8552,9078
Acc_P18_4th,0.0,0.0,0.0,0.5,8550,9074
Acc_P18_5th,0.0,0.0,0.0,0.5,8547,9075
Acc_P18_6th,0.0,0.0,0.0,0.5,8553,9075
Acc_P18_7th,0.0,0.0,0.0,0.5,8555,9074
Acc_P18_8th,0.0,0.0,0.0,0.5,8554,9073
Acc_P18_9th,0.0,0.0,0.0,0.5,8553,9072
Acc_P19_10th,0.0,0.0,0.0,0.5,8553,9073
Acc_P19_1th,0.0,0.0,0.0,0.5,8552,9072
Acc_P19_2th,0.0,0.0,0.0,0.5,8553,9074
Acc_P19_3th,0.0,0.0,0.0,0.5,8554,9075
Acc_P19_4th,0.0,0.0,0.0,0.5,8552,9076
Acc_P19_5th,0.0,0.0,0.0,0.5,8549,9077
Acc_P19_6th,0.0,0.0,0.0,0.5,8553,9077
Acc_P19_7th,0.0,0.0,0.0,0.5,8554,9076
Acc_P19_8th,0.0,0.0,0.0,0.5,8551,9077
Acc_P19_9th,0.0,0.0,0.0,0.5,8551,9072
Acc_P1_10th,0.0,0.0,0.0,0.5,8504,8978
Acc_P1_1th,0.0,0.0,0.0,0.5,8553,9046
Acc_P1_2th,0.0,0.0,0.0,0.5,8549,9042
Acc_P1_3th,0.0,0.0,0.0,0.5,8551,9035
Acc_P1_4th,0.0,0.0,0.0,0.5,8541,9028
Acc_P1_5th,0.0,0.0,0.0,0.5,8539,9026
Acc_P1_6th,0.0,0.0,0.0,0.5,8532,9013
Acc_P1_7th,0.0,0.0,0.0,0.5,8524,9008
Acc_P1_8th,0.0,0.0,0.0,0.5,8517,8997
Acc_P1_9th,0.0,0.0,0.0,0.5,8513,8985
Acc_P20_10th,0.0,0.0,0.0,0.5,8553,9076
Acc_P20_1th,0.0,0.0,0.0,0.5,8547,9073
Acc_P20_2th,0.0,0.0,0.0,0.5,8553,9074
Acc_P20_3th,0.0,0.0,0.0,0.5,8551,9075
Acc_P20_4th,0.0,0.0,0.0,0.5,8551,9075
Acc_P20_5th,0.0,0.0,0.0,0.5,8553,9076
Acc_P20_6th,0.0,0.0,0.0,0.5,8550,9077
Acc_P20_7th,0.0,0.0,0.0,0.5,8553,9076
Acc_P20_8th,0.0,0.0,0.0,0.5,8553,9076
Acc_P20_9th,0.0,0.0,0.0,0.5,8554,9076
Acc_P21_10th,0.0,0.0,0.0,0.5,8553,9076
Acc_P21_1th,0.0,0.0,0.0,0.5,8550,9072
Acc_P21_2th,0.0,0.0,0.0,0.5,8551,9071
Acc_P21_3th,0.0,0.0,0.0,0.5,8550,9076
Acc_P21_4th,0.0,0.0,0.0,0.5,8552,9078
Acc_P21_5th,0.0,0.0,0.0,0.5,8553,9075
Acc_P21_6th,0.0,0.0,0.0,0.5,8553,9078
Acc_P21_7th,0.0,0.0,0.0,0.5,8552,9074
Acc_P21_8th,0.0,0.0,0.0,0.5,8549,9077
Acc_P21_9th,0.0,0.0,0.0,0.5,8551,9077
Acc_P22_10th,0.0,0.0,0.0,0.5,8550,9075
Acc_P22_1th,0.0,0.0,0.0,0.5,8553,9076
Acc_P22_2th,0.0,0.0,0.0,0.5,8552,9069
Acc_P22_3th,0.0,0.0,0.0,0.5,8552,9073
Acc_P22_4th,0.0,0.0,0.0,0.5,8554,9073
Acc_P22_5th,0.0,0.0,0.0,0.5,8554,9070
Acc_P22_6th,0.0,0.0,0.0,0.5,8553,9074
Acc_P22_7th,0.0,0.0,0.0,0.5,8551,9073
Acc_P22_8th,0.0,0.0,0.0,0.5,8553,9074
Acc_P22_9th,0.0,0.0,0.0,0.5,8551,9075
Acc_P23_10th,0.0,0.0,0.0,0.5,8553,9071
Acc_P23_1th,0.0,0.0,0.0,0.5,8553,9066
Acc_P23_2th,0.0,0.0,0.0,0.5,8549,9073
Acc_P23_3th,0.0,0.0,0.0,0.5,8549,9068
Acc_P23_4th,0.0,0.0,0.0,0.5,8548,9069
Acc_P23_5th,0.0,0.0,0.0,0.5,8551,9070
Acc_P23_6th,0.0,0.0,0.0,0.5,8552,9072
Acc_P23_7th,0.0,0.0,0.0,0.5,8548,9073
Acc_P23_8th,0.0,0.0,0.0,0.5,8552,9070
Acc_P23_9th,0.0,0.0,0.0,0.5,8554,9071
